,year,Month,day,Hour,minute,SiteOutdoorAirDrybulbTemperature,dew_point,SiteOutdoorAirRelativeHumidity,datetime,DayOfYear,dayofweek,DayofWeek,floor_area,floor_height,number_of_stories,building_rotation,aspect_ratio,overall_wwr,hours_of_operation_start_time,hours_of_operation_duration,lpd,epd,people_average,heating_source,target_standard,building_type,B0_Elec,B0_Gas,B1_Elec,B1_Gas,B2_Elec,B2_Gas,B_All_Elec
6409,2000,9,25,2,0,16.1,14.4,90.0,9/25/2017 1:00,268,Monday,1,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,37.75060277777778,0.003987495405555555,72.32702777777777,0.08777312659444444,25.055680555555554,0.036146258849999995,135.13331111111108
6410,2000,9,25,3,0,15.0,13.0,88.0,9/25/2017 2:00,268,Monday,1,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,33.54808055555556,0.0683612492111111,51.81870138888889,0.07376134105,24.213734722222224,0.0015725585755555554,109.58051666666668
6411,2000,9,25,4,0,14.4,12.8,90.0,9/25/2017 3:00,268,Monday,1,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,39.97743333333333,0.10144798661666665,51.87036111111111,0.0468146872,19.355669444444445,0.0027724305516666665,111.20346388888889
6412,2000,9,25,5,0,13.9,13.3,96.0,9/25/2017 4:00,268,Monday,1,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,52.94544722222222,0.10759330190555555,53.68982638888889,0.0058411734,20.356556944444446,0.007301244022222222,126.99183055555555
6413,2000,9,25,6,0,13.3,12.8,97.0,9/25/2017 5:00,268,Monday,1,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,117.98384722222222,0.16116074465,46.2855375,0.3438972731955556,40.94642916666667,0.08655603776111111,205.21581388888887
6414,2000,9,25,7,0,11.1,11.1,100.0,9/25/2017 6:00,268,Monday,1,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,139.00872222222222,0.4115410337777778,86.66150694444444,0.7550517870833332,65.366475,0.42943521091111114,291.03670416666665
6415,2000,9,25,8,0,11.1,11.1,100.0,9/25/2017 7:00,268,Monday,1,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,124.96270833333334,0.8072230441666666,156.2824861111111,1.2096971144444444,72.07611111111112,0.21421945345555557,353.32130555555557
6416,2000,9,25,9,0,11.7,11.1,96.0,9/25/2017 8:00,268,Monday,1,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,133.67258333333334,0.6039616741666667,153.94930555555555,1.0423396043888888,87.44956944444445,0.14237393618888888,375.07145833333334
6417,2000,9,25,10,0,12.2,11.7,97.0,9/25/2017 9:00,268,Monday,1,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,137.24958333333333,0.3047556697777778,158.57129166666667,0.34029894766666663,95.75125,0.14532560052222224,391.572125
6418,2000,9,25,11,0,12.2,12.2,100.0,9/25/2017 10:00,268,Monday,1,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,145.59144444444445,0.3132641078333333,160.03722222222223,0.2169758566111111,96.32561111111112,0.18524567827777777,401.9542777777778
6419,2000,9,25,12,0,12.2,11.7,97.0,9/25/2017 11:00,268,Monday,1,47083.0,10,4,45,1.4248449171618343,45,6.030453952648233,8.941525409031172,16.009372807444223,2,10,Electricity,90.1-2004,MediumOffice,141.5915138888889,0.3125848355,158.08794444444445,0.2197482961666667,94.93034722222222,0.16348237844444444,394.60980555555557
